fase;inde;iaa;ieg;ips;ida;ipv;ian;defasagem;ano;pedra;genero;instituicao_ensino;ano_nascimento;ipp;idade;escola_publica;genero_binario;perfil_defasagem
4;8,317;7,5;10,0;6,3;7,7;8,292;10,0;1;2022;Topázio;Menina;Rede Decisão;2010;7,4;12;0;0;Em fase
4;7,302;7,9;9,8;5,6;6,6;8,125;2,5;-3;2022;Ametista;Menina;Rede Decisão;2005;8,0;17;0;0;Severa
4;6,49;8,3;8,1;5,6;4,7;6,458;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,5;15;1;0;Moderada
4;6,746;7,5;7,2;5,6;5,3;8,25;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,9;15;1;0;Moderada
4;7,957;7,9;9,1;5,6;6,9;8,083;10,0;2;2022;Ametista;Menina;Rede Decisão;2011;7,9;11;0;0;Em fase
4;7,215;6,7;8,5;7,5;5,5;6,542;10,0;0;2022;Ametista;Menina;Escola Pública;2008;6,9;14;1;0;Em fase
4;6,797;8,8;7,9;5,6;6,7;6,5;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;6,4;15;1;0;Moderada
4;6,776;8,3;7,3;5,6;6,5;7,208;5,0;-2;2022;Ágata;Menino;Escola Pública;2006;6,8;16;1;1;Moderada
4;8,063;7,1;9,8;5,6;7,6;7,5;10,0;0;2022;Topázio;Menina;Rede Decisão;2008;8,1;14;0;0;Em fase
4;8,253;9,2;9,0;6,3;8,1;7,542;10,0;0;2022;Topázio;Menino;Escola Pública;2008;7,7;14;1;1;Em fase
4;7,798;9,2;9,7;5,6;7,9;7,833;5,0;-2;2022;Ametista;Menina;Rede Decisão;2006;7,3;16;0;0;Moderada
4;6,917;7,9;8,3;6,3;5,9;7,083;5,0;-1;2022;Ágata;Menina;Rede Decisão;2007;7,4;15;0;0;Moderada
4;5,159;7,5;5,1;6,3;3,2;4,792;5,0;-1;2022;Quartzo;Menina;Escola Pública;2007;6,6;15;1;0;Moderada
4;7,007;8,3;9,2;5,6;4,9;5,792;10,0;0;2022;Ágata;Menina;Rede Decisão;2008;6,4;14;0;0;Em fase
4;6,581;7,5;6,8;7,5;5,5;6,875;5,0;-2;2022;Ágata;Menino;Escola Pública;2006;7,5;16;1;1;Moderada
4;8,673;9,2;8,9;9,4;7,3;8,917;10,0;0;2022;Topázio;Menina;Rede Decisão;2008;7,9;14;0;0;Em fase
4;7,816;8,3;9,2;6,9;7,9;9,25;2,5;-3;2022;Ametista;Menino;Rede Decisão;2005;7,8;17;0;1;Severa
4;6,075;7,9;6,2;7,5;4,4;6,042;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,1;15;1;0;Moderada
4;6,75;8,3;9,2;5,6;5,9;5,833;5,0;-1;2022;Ágata;Menina;Rede Decisão;2007;6,7;15;0;0;Moderada
3;8,427;9,6;9,1;5,6;6,9;9,083;10,0;0;2022;Topázio;Menina;Rede Decisão;2009;8,9;13;0;0;Em fase
3;7,424;7,9;8,8;4,4;6,8;6,958;10,0;0;2022;Ametista;Menina;Escola Pública;2009;6,8;13;1;0;Em fase
3;7,025;0,0;8,8;4,4;6,3;8,458;10,0;0;2022;Ágata;Menina;Rede Decisão;2009;8,7;13;0;0;Em fase
3;7,993;7,5;9,2;7,5;6,1;8,042;10,0;0;2022;Ametista;Menino;Escola Pública;2010;8,2;12;1;1;Em fase
3;8,442;9,2;8,3;6,3;8,1;8,625;10,0;0;2022;Topázio;Menino;Rede Decisão;2010;8,9;12;0;1;Em fase
3;8,623;9,2;9,5;8,8;6,8;8,458;10,0;0;2022;Topázio;Menina;Rede Decisão;2009;8,7;13;0;0;Em fase
3;6,328;7,5;8,0;7,5;4,1;6,958;2,5;-3;2022;Ágata;Menina;Escola Pública;2006;7,7;16;1;0;Severa
3;7,3;8,3;8,8;7,5;3,8;7,25;10,0;0;2022;Ametista;Menina;Escola Pública;2009;7,5;13;1;0;Em fase
3;7,28;8,8;7,7;7,5;7,2;8,0;2,5;-3;2022;Ametista;Menino;Escola Pública;2006;8,2;16;1;1;Severa
3;6,615;7,9;7,7;7,5;4,5;6,875;5,0;-2;2022;Ágata;Menino;Escola Pública;2007;7,6;15;1;1;Moderada
3;7,832;8,3;8,5;7,5;6,6;7,5;10,0;0;2022;Ametista;Menina;Escola Pública;2009;7,3;13;1;0;Em fase
